zip3,Longitude_avg,Latitude_avg,n_screened,n_positive,positivity
362,-85.69951092,33.57772775,4824,288,5.97
363,-85.53390434,31.323435561,51537,1681,3.26
364,-87.0918313,31.417225875,1560,80,5.13
365,-87.9307311,30.884723254,8307,568,6.84
366,-88.15308873,30.676345682,8052,396,4.92
367,-87.37749322,32.315168784,765,102,13.33
368,-85.38429835,32.564115735,5338,306,5.73
370,-86.85343838,36.120734247,37807,2541,6.72
371,-86.73259141,36.061046542,27140,1239,4.57
372,-86.78986147,36.167129089,4590,450,9.8
373,-85.34658107,35.272465742,2670,178,6.67
376,-82.3413601,36.385106524,140616,6384,4.54
377,-83.86915255,36.162612264,10971,689,6.28
378,-83.83111153,36.089250557,20090,1120,5.57
379,-83.99915569,35.951113629,560,70,12.5
380,-89.49796357,35.486360785,35035,2210,6.31
381,-89.94151746,35.150555775,85626,5112,5.97
382,-88.7276465,36.288493906,16064,1408,8.76
383,-88.55318927,35.599080595,7844,518,6.6
384,-87.29750877,35.301457771,1995,210,10.53
385,-85.67228835,36.099733,780,104,13.33
386,-89.82708857,34.580749862,30615,1495,4.88
388,-88.66294757,34.297156745,2754,102,3.7
389,-89.95430043,33.771113565,3036,184,6.06
390,-90.165132,32.448664289,5895,270,4.58
391,-90.24099433,32.353082397,5916,58,0.98
393,-88.82294652,32.386649568,24552,4004,16.31
394,-89.30303329,31.335633044,4905,540,11.01
395,-89.02508181,30.439097048,294,84,28.57
397,-88.82754238,33.529370405,16354,2220,13.57
398,-90.307122,32.540084,58,1,1.72
400,-85.34011353,38.115905982,105450,4104,3.89
401,-86.16380533,37.858186611,6588,288,4.37
402,-85.68525571,38.200078606,176814,8316,4.7
403,-84.17255492,38.05811302,23550,3300,14.01
404,-84.39585055,37.512678474,190,38,20
405,-84.48421994,38.02865014,550,50,9.09
406,-84.7599631,38.0683139,130,10,7.69
408,-83.27599018,36.891995053,1330,38,2.86
409,-83.69665754,36.946895405,7733,74,0.96
410,-84.39572821,38.785120642,176880,10184,5.76
411,-82.96944132,38.389255632,6346,988,15.57
413,-83.50529255,37.571244552,551,116,21.05
414,-83.14279871,37.805715235,1768,204,11.54
418,-82.85646091,37.218892727,264,33,12.5
420,-88.55857407,36.921235673,4125,220,5.33
421,-86.07733123,36.883037943,175,35,20
422,-86.87947809,36.994505826,1518,46,3.03
424,-87.67182662,37.516653559,1904,68,3.57
427,-85.72193525,37.309022818,1188,88,7.41
430,-82.92212346,40.1655091,129710,4480,3.45
431,-82.88740184,39.702325776,28616,1617,5.65
432,-82.99589253,39.987150915,65095,3666,5.63
433,-83.36949589,40.550024511,2585,94,3.64
434,-83.28873931,41.465257756,720,45,6.25
435,-84.13247568,41.460222754,3249,285,8.77
436,-83.48900769,41.641068923,5187,273,5.26
438,-81.85848774,40.268475632,152,19,12.5
440,-81.37780871,41.562001108,11115,715,6.43
441,-81.6680066,41.509852418,39195,1943,4.96
442,-81.58297198,41.116532415,13833,530,3.83
443,-81.53328312,41.073320242,8778,363,4.14
444,-80.74852553,41.10400855,4920,120,2.44
445,-80.69338012,41.071703765,2261,34,1.5
446,-81.46904351,40.66551785,113280,4880,4.31
447,-81.38020609,40.818579739,31533,1265,4.01
448,-82.76785185,41.037906,2442,132,5.41
449,-82.52734075,40.762564375,1008,40,3.97
450,-84.49735979,39.407715479,127344,10848,8.52
451,-83.92810865,39.1157146,65395,3025,4.63
452,-84.49429023,39.165560817,456459,38624,8.46
453,-84.2840431,39.994344469,10449,891,8.53
454,-84.20972133,39.746545816,10437,1274,12.21
455,-83.77448029,39.763844714,287,35,12.2
456,-82.80065407,38.939952761,9585,284,2.96
457,-81.79271937,39.352130241,1566,54,3.45
458,-84.19653665,40.828964767,688,86,12.5
461,-86.1660492,39.654974108,2080,65,3.13
462,-86.13979293,39.797113066,1159,61,5.26
463,-87.11290204,41.399300895,8892,570,6.41
464,-87.25771733,41.470004,1212,36,2.97
465,-86.05147438,41.418648836,40535,2365,5.83
466,-86.22400248,41.591800522,3243,460,14.18
467,-85.21770487,41.152068618,24140,1224,5.07
468,-85.10130698,41.091096467,1260,45,3.57
470,-85.12338174,39.125705629,10640,420,3.95
471,-85.97643545,38.385732707,56376,3306,5.86
472,-85.79078033,39.076555628,817,43,5.26
473,-85.21966721,40.059816879,3564,132,3.7
475,-86.99397207,38.415358579,627,57,9.09
479,-87.05182823,40.398319474,1326,156,11.76
480,-82.93482562,42.682846759,24174,1027,4.25
481,-83.49383404,42.210518827,1112373,47709,4.29
482,-83.12650094,42.325812172,13568,960,7.08
483,-83.3164288,42.634233704,47002,1562,3.32
484,-83.30006575,43.2445282,16440,660,4.01
487,-83.5795368,43.906831911,336,56,16.67
488,-84.65900585,43.020901385,120120,5187,4.32
489,-84.52129325,42.675095833,1008,24,2.38
490,-85.58437279,42.214968,19872,828,4.17
491,-86.29976908,42.11546875,1176,48,4.08
492,-84.35436479,42.041597424,83622,3036,3.63
493,-85.55481429,43.238629412,2397,102,4.26
494,-86.1406867,43.237415105,7524,342,4.55
495,-85.616339,43.2049512,2850,210,7.37
496,-85.62259167,44.540884274,31390,1533,4.88
498,-87.2095763,46.067849214,38780,910,2.35
499,-88.71708457,46.722048941,867,51,5.88
500,-93.77455081,41.694514075,53600,804,1.5
501,-93.4413091,41.598648569,22392,504,2.25
502,-93.56554877,41.684860485,21846,660,3.02
503,-93.59692997,41.648499052,4582,174,3.8
504,-93.35364528,43.166237276,1276,116,9.09
505,-94.44624603,42.743066618,9272,76,0.82
514,-95.06077085,42.091688788,6105,66,1.08
515,-95.55136195,41.45388965,4260,60,1.41
520,-90.96403002,42.490309064,8366,47,0.56
530,-88.21540379,43.453483738,12684,252,1.99
531,-88.22223037,42.733240044,9792,340,3.47
532,-87.90825973,43.064499918,14651,490,3.34
535,-89.60887308,42.949932,34365,957,2.78
537,-89.40540605,43.072643789,4066,190,4.67
538,-90.74689843,42.839099,989,46,4.65
539,-89.52434987,43.600962111,9126,270,2.96
540,-92.0931874,44.9022009,2160,150,6.94
541,-88.24492741,44.86170025,131264,4984,3.8
542,-87.66215845,44.546450545,19470,594,3.05
543,-88.73748231,44.771686313,26656,848,3.18
544,-89.79830303,44.885596852,120120,17952,14.95
545,-89.88318319,45.904047979,7008,720,10.27
546,-90.9122609,43.853877083,9540,720,7.55
547,-91.59697486,44.847791321,1400,224,16
548,-91.64646793,46.01322029,1173,207,17.65
549,-88.82268303,44.218621074,184892,7616,4.12
550,-93.01969449,45.054580108,69930,2442,3.49
551,-93.08690311,45.004502679,82256,3604,4.38
553,-93.86425137,44.982235309,307684,16587,5.39
554,-93.35478904,44.988124797,132894,7107,5.35
557,-92.79682208,47.201251325,6080,480,7.89
559,-92.29895026,43.906581054,2146,74,3.45
560,-93.958109,43.991303935,7084,462,6.52
563,-94.63072486,45.776658631,2016,252,12.5
567,-96.32583909,48.420188302,1892,172,9.09
571,-96.771484,43.614823762,147,21,14.29
575,-100.4151448,43.779079521,624,48,7.69
576,-101.3418966,45.497319025,6400,40,0.63
581,-97.09320093,46.910686714,252,14,5.56
582,-97.63143395,48.211791828,14784,960,6.49
583,-99.27883812,48.267526397,12180,116,0.95
584,-99.01370697,46.937394859,8000,192,2.4
585,-100.8858921,46.793821265,53361,2352,4.41
586,-102.8961634,46.812543091,22341,726,3.25
587,-101.5582837,48.347393015,23562,858,3.64
588,-103.4153379,48.254652111,972,108,11.11
590,-108.6681818,45.829457053,1368,76,5.56
591,-108.3102379,45.911436571,98,14,14.29
593,-105.4572411,46.271558125,704,64,9.09
594,-111.2301509,47.751207612,469,134,28.57
596,-111.9481206,46.595651583,16704,312,1.87
597,-112.0915106,45.661758154,27612,1976,7.16
598,-114.1927556,46.998120891,330,55,16.67
600,-87.97415272,42.202233628,146716,4128,2.81
